Name,Project,area,perimeter
Kiribati,,0.0343513169500073,1.68179817419573
Fiji,,1.53744366140002,13.1052847357447
Malawi,,9.88438409710003,22.9074432839581
Hala'ib Triangle,,1.27350006867028,6.28787988204397
Myanmar,,58.1201222904504,87.3473075456567
Mauritius,,0.185447092049994,1.99526652773636
Cocos (Keeling) Islands,,0.00149018459999972,0.176662258560374
Afghanistan,,62.5666948447,50.8031838659163
Sao Tome and Principe,,0.0927893617500002,1.52827946059812
Colombia,,92.5804747193992,70.6875509240291
Czech Republic,,9.82421114194999,18.4495938630353
Japan,,37.9413133493502,118.053080781125
Lao People's Democratic Republic,,19.6803750938499,37.5582850093626
Tunisia,,15.1889346061,25.0143654512206
Guyana,,17.1752158828,25.7076040599883
Gabon,,21.185795715,32.2705691772637
Malta,,0.0293868565000033,0.680206395773095
Finland,,62.6549725717999,69.1261093357978
Turkey,,81.1992798286001,76.9907324644857
Lithuania,,9.20255713229996,17.1320496695824
Russian Federation,,2930.996051158,1526.86756174353
Zimbabwe,,33.46312601305,26.2984084298543
Singapore,,0.044788342800004,0.858104783569295
Ilemi Triangle,,0.332564578438482,3.69250694273345
Spratly Islands,,0.000353357299999163,0.098414945828421
Bermuda,,0.00205555085000109,0.391085142270376
Arunachal Pradesh,,6.20165934009992,16.8631280561209
South Sudan,,51.4402429269383,42.8595750556239
Bulgaria,,12.2104360999501,20.3151362203234
U.K. of Great Britain and Northern Ireland,,33.6304472673499,115.974316504432
Bahrain,,0.0577361262500018,1.65371597920263
Niue,,0.0214135741999995,0.541414618508958
Somalia,,52.0704029586,48.9953108265393
Barbados,,0.037211513749993,0.813975999005789
Puerto Rico,,0.781352655099994,4.78859644482907
Seychelles,,0.0308922081000054,1.35672529270644
Senegal,,16.4280054948999,31.0109314289118
Greece,,13.5434232852001,80.3967882904072
West Bank,,0.560028734650002,3.63367240547359
Swaziland,,1.54999246710001,5.02490292586152
New Caledonia,,1.6405992245,12.5718582440209
Falkland Islands (Malvinas),,1.49538460970003,19.0825917806549
Pakistan,,73.97843446195,66.7364954315483
South Africa,,113.1023765568,67.704725466174
Democratic People's Republic of Korea,,12.918865339,27.0690038027033
Maldives,,0.00273875350000153,1.12863407346432
Lebanon,,0.995859333549993,5.61156220503887
Isle of Man,,0.0851461844999963,1.29516028030658
Iceland,,19.5735647443498,58.7777472096649
Namibia,,72.31014292585,48.9028872714568
"Moldova, Republic of",,3.99894197480001,12.4572387293657
Nauru,,0.00148356206324024,0.144690945913422
Thailand,,43.14322839875,65.5203651925756
Nepal,,13.5337207727501,23.5331882940621
American Samoa,,0.0137198122000005,0.600144663949934
Northern Mariana Islands,,0.0199278531499845,0.908860710256039
Kuril Islands,,0.558451478550043,9.30722020875699
France,,64.3483186978002,65.8470856343088
Serbia,,9.9006622071,19.5737425884033
Uruguay,,17.1262457917,18.4869923719409
